Symbols,Price,IsUptrend,AboveMA,Yearly_Profit_20%,Quarterly_Profit_Growth,Revenue_Growth,EPS_Growth,Symptoms_Count
BALY,17.68,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BAM,54.22,TRUE,TRUE,FALSE,FALSE,insufficient,FALSE,2
BANC,15.36,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BAP,180.17,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BARK,1.93,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BBU,22.38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BBUC,23.51,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BBW,42.74,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BCS,12.92,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BCSF,16.95,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BDC,114.61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BDN,5.34,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BE,22.88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BERY,64.69,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BFH,61.42,TRUE,TRUE,FALSE,q_no_gp,FALSE,FALSE,2
BFLY,2.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BGB,12.23,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BGH,15.2177,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BGT,12.69,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BGX,12.68,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BHE,45.93,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BHLB,27.8,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BHR,3.15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BIGZ,7.48,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BIP,31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
BJ,94,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BK,76.41,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BKE,50.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BKH,58.05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BKSY,10.5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
BKU,37.41,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BLND,4.43,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BLX,35.64,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BMI,218.46,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BMN,25.06,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BMY,56.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BN,55.49,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BNS,53.42,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BOH,68.21,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BOX,32.06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BR,224.18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BRC,75.56,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BRFS,4.28,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BRO,102.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BRT,18.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BRW,7.73,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BRX,27.09,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BSIG,28.02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BSL,14.25,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BST,36.15,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BSTZ,20.38,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BSX,88.66,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BTI,36.1269,TRUE,TRUE,FALSE,q_no_gp,FALSE,cant_fetch,2
BTO,34.13,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BURL,281.12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BV,15.88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BWSN,23.01,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
BWXT,112.96,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
BX,168.91,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BXMX,13.54,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
BXSL,31.84,TRUE,TRUE,FALSE,q_no_gp,FALSE,FALSE,2
BY,28.89,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
BYD,71.16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
C,68.42,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CAAP,18.64,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CADE,33.77,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CAH,117,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CANG,5.76,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CAVA,117.05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CBAN,16.02,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CBL,29.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CBRE,125.65,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CBU,61.12,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CCIA,25.78,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
CCJ,52.91,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CCL,25.18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CCRD,21.52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CCZ,61.1,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
CDP,30.66,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CEE,11.48,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
CEIX,108.29,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CEPU,13.55,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CF,83.82,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CFG,42.45,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CFR,131.28,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CHD,105.85,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CHH,140.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CHWY,32.48,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CIEN,85.79,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CII,19.49,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
CION,11.59,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CLBR,11.72,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,FALSE,2
CLS,93.05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CLX,164.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CM,63.78,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CMA,60.01,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CMCM,4.59,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CMG,61.74,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2
CNA,47.66,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CNO,36.02,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
CNP,31.76,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CNS,90.67,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CNX,35.34,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
COF,175.66,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
COHR,96.18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
COMP,5.98,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
COUR,8.4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
CPF,28.27,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
