Symbols,Price,IsUptrend,AboveMA,Yearly_Profit_20%,Quarterly_Profit_Growth,Revenue_Growth,EPS_Growth,Symptoms_Count
A,133.19,False,False,False,False,False,False,0
AA,36.62,True,False,False,False,False,False,1
AACT,10.95,True,True,y_no_gp,q_no_gp,insufficient,False,2
AAM,10.08,True,False,y_empty,q_no_gp,cant_fetch,False,1
AAP,41.96,True,False,False,False,False,False,1
AAT,25.42,True,True,False,False,False,False,2
AB,35.52,True,True,y_no_gp,q_no_gp,False,False,2
ABBV,171.52,False,False,False,False,False,False,0
ABCB,61.95,True,True,y_no_gp,q_no_gp,False,False,2
ABEV,2.03,False,False,False,False,False,False,0
ABG,243.86,True,True,False,False,False,False,2
ABM,51.14,True,True,y_no_gp,q_no_gp,False,False,2
ABR,13.71,False,True,y_no_gp,q_no_gp,False,False,1
ABT,112.42,True,True,False,False,False,False,2
AC,35.01,True,True,False,False,False,False,2
ACA,99.08,True,True,False,False,False,False,2
ACCO,5.43,True,True,False,False,False,False,2
ACEL,10.73,True,False,False,False,True,False,2
ACHR,8.42,True,False,y_no_gp,q_no_gp,insufficient,False,1
ACI,19.41,True,False,False,False,False,False,1
ACM,107.04,True,True,False,False,False,False,2
ACP,5.83,False,False,y_no_gp,q_no_gp,False,cant_fetch,0
ACR,15.31,True,True,y_no_gp,q_no_gp,False,True,3
ACRE,6.12,True,False,y_no_gp,q_no_gp,False,False,1
ACV,21.88,True,False,y_no_gp,q_no_gp,False,cant_fetch,1
ADC,69.44,True,True,True,False,True,False,4
ADCT,2.12,False,False,y_insuffidata,False,insufficient,False,0
ADM,49.38,False,False,False,False,False,False,0
ADNT,17.26,False,False,False,False,False,False,0
ADT,6.79,True,False,False,False,False,False,1
ADX,20.04,True,True,y_no_gp,q_no_gp,False,cant_fetch,2
AEE,88.57,True,True,False,False,False,False,2
AEFC,20.6,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AEG,5.76,False,False,y_no_gp,q_no_gp,False,insufficient,0
AEM,77.36,True,True,False,False,False,False,2
AEO,16.36,False,False,False,False,False,False,0
AER,93.08,True,True,False,False,False,False,2
AES,12.44,False,False,False,False,False,False,0
AESI,21.33,True,False,True,False,True,False,3
AEVA,3.87,True,False,False,False,False,False,1
AFB,10.95,False,False,y_no_gp,q_no_gp,False,cant_fetch,0
AFG,136.46,True,True,y_no_gp,q_no_gp,False,False,2
AFGB,22.82,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AFGC,20.42,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AFGD,22.67,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AFGE,18.56,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AFL,101.25,False,True,y_no_gp,q_no_gp,False,False,1
AG,5.45,False,False,False,False,False,False,0
AGCO,90.55,False,False,False,False,False,False,0
AGD,9.7,False,True,y_no_gp,q_no_gp,False,cant_fetch,1
AGI,18.11,False,True,False,False,False,False,1
AGL,1.88,False,False,False,False,True,True,2
AGM,199.29,True,True,y_no_gp,q_no_gp,False,False,2
AGO,85.9,True,False,y_no_gp,q_no_gp,False,False,1
AGR,35.73,True,True,False,False,False,False,2
AGRO,9.65,False,False,False,False,False,False,0
AGS,11.49,True,True,False,False,False,False,2
AGX,139.48,True,True,False,False,False,False,2
AHH,10.27,False,False,False,False,False,False,0
AHR,27.21,True,True,False,False,False,False,2
AHT,7.28,True,False,False,False,False,False,1
AI,35.45,True,True,False,False,False,False,2
AIG,71.09,False,False,y_no_gp,q_no_gp,False,False,0
AIN,79.25,True,False,False,False,False,False,1
AIO,23.64,True,True,y_no_gp,q_no_gp,False,cant_fetch,2
AIR,60.6,True,False,False,False,False,False,1
AIT,243.45,True,True,False,False,False,False,2
AIV,8.03,False,False,False,False,False,False,0
AIZ,208.44,True,True,y_no_gp,q_no_gp,False,False,2
AIZN,20.93,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AJG,279.09,True,True,False,False,False,False,2
AKA,20.45,False,True,False,False,False,False,1
AKR,23.97,True,True,False,False,False,False,2
AL,47.46,True,False,False,False,False,False,1
ALB,88.92,True,False,False,False,False,False,1
ALC,84.18,False,False,False,False,False,False,0
ALE,64.6,True,True,False,False,False,False,2
ALEX,17.535,True,True,False,False,False,False,2
ALG,194.51,True,False,False,False,False,False,1
ALIT,6.76,True,False,False,False,False,False,1
ALK,64.97,True,True,False,False,False,False,2
ALL,189.79,True,True,y_no_gp,q_no_gp,False,False,2
ALLE,130.63,False,False,False,False,False,False,0
ALLY,34.63,True,False,y_no_gp,q_no_gp,False,True,2
ALSN,107.22,True,True,False,False,False,False,2
ALTG,6.6,True,False,True,False,False,False,2
ALTM,4.88,True,False,False,False,False,False,1
ALV,91.27,True,False,False,False,False,False,1
ALX,200.95,False,False,False,False,False,False,0
AM,14.53,True,True,False,False,False,False,2
AMBC,12.18,True,False,y_no_gp,q_no_gp,False,False,1
AMBP,3.03,False,False,False,False,False,False,0
AMC,4.09,True,False,True,False,True,False,3
AMCR,9.4,False,False,False,False,False,False,0
AME,182.11,True,False,False,False,False,False,1
AMG,179.54,True,True,False,False,False,False,2
AMH,36.06,False,False,False,False,False,False,0
AMN,22.95,False,False,False,False,False,False,0
AMPS,3.47,True,False,True,False,True,False,3
AMPX,1.7,True,False,True,False,False,False,2
AMPY,5.79,False,False,False,False,False,False,0
AMR,204.83,True,False,False,False,False,False,1
AMRC,22.1,False,False,False,False,False,False,0
AMT,179.4,False,False,False,False,False,False,0
AMTB,22.41,True,True,y_no_gp,q_no_gp,False,False,2
AMTD,1.09,False,False,False,q_no_gp,False,cant_fetch,0
AMTM,18.93,False,False,False,False,False,False,0
AMWL,7.84,False,False,False,False,False,False,0
AMX,14.21,False,False,False,False,False,False,0
AN,169.77,True,True,False,False,False,False,2
ANET,109.07,True,True,True,False,True,False,4
ANF,153.25,True,True,False,False,False,False,2
ANRO,3.72,False,False,y_no_gp,q_no_gp,insufficient,False,0
ANVS,4.4,False,False,y_no_gp,q_no_gp,insufficient,True,1
AOD,8.36,False,True,y_no_gp,q_no_gp,False,cant_fetch,1
AOMN,25.2788,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
AOMR,9.2,False,False,y_no_gp,q_no_gp,False,False,0
AORT,27.97,True,True,False,False,False,False,2
AOS,68.44,False,False,False,False,False,False,0
AP,1.95,True,False,False,False,False,False,1
APAM,43.16,True,True,False,False,False,False,2
APD,293.17,True,True,False,False,False,False,2
APG,36.6,True,False,False,False,False,False,1
APH,70.01,True,True,False,False,False,False,2
APLE,15.34,True,False,False,False,False,False,1
APO,169.63,True,True,True,False,True,False,4
APOS,26.83,False,True,y_empty,q_no_gp,cant_fetch,cant_fetch,1
APTV,57.01,False,False,False,False,False,False,0
AQN,4.31,False,False,False,False,False,False,0
AQNB,25.35,True,True,y_empty,q_no_gp,cant_fetch,cant_fetch,2
AR,30.86,True,False,False,False,False,False,1
ARCH,143.63,True,False,False,False,False,False,1
ARCO,7.32,False,False,True,False,False,False,1
ARDC,14.8825,True,True,y_no_gp,q_no_gp,False,cant_fetch,2
ARDT,16.05,False,False,y_no_gp,q_no_gp,False,False,0
ARE,97.29,False,False,False,False,False,False,0
ARES,171.08,True,True,False,False,False,False,2
ARGD,21.6,False,True,y_empty,q_no_gp,cant_fetch,cant_fetch,1
ARI,8.78,True,False,y_no_gp,q_no_gp,False,False,1
ARIS,23.91,True,True,True,False,True,False,4
ARL,15.4,False,False,False,False,False,False,0
ARLO,11.45,True,False,True,False,False,False,2
ARMK,37.41,True,True,False,False,False,False,2
AROC,24.03,True,True,False,False,False,False,2
ARR,18.52,False,False,y_no_gp,q_no_gp,False,False,0
ARW,115.42,False,False,False,False,False,False,0
AS,27.5,True,True,False,False,False,False,2
ASA,19.6,False,True,y_no_gp,q_no_gp,False,no data,1
ASAI,4.4,False,False,True,False,False,False,1
ASAN,22.37,True,False,False,False,False,False,1
ASB,23.7,True,True,y_no_gp,q_no_gp,False,False,2
ASBA,24.85,True,True,y_empty,q_no_gp,cant_fetch,cant_fetch,2
ASC,11.29,False,False,False,False,False,False,0
ASG,5.61,True,True,y_no_gp,q_no_gp,False,cant_fetch,2
ASGI,17.37,False,False,y_no_gp,q_no_gp,False,cant_fetch,0
ASGN,84.69,False,False,False,False,False,False,0
ASH,71.95,False,False,False,False,False,False,0
ASIX,28.27,True,True,False,False,False,False,2
ASPN,11.99,False,False,False,False,True,False,1
ASR,263.41,False,False,False,False,False,False,0
ASX,9.91,False,False,True,False,False,False,1
ATEN,18.4,True,True,False,False,False,False,2
ATGE,88.41,True,True,False,False,False,False,2
ATHM,26.05,False,False,False,False,False,False,0
ATHS,25.05,False,False,y_empty,q_no_gp,cant_fetch,cant_fetch,0
ATI,54.23,False,False,False,False,False,False,0
ATKR,82.72,True,False,False,False,False,False,1
ATMU,38.78,True,True,False,False,False,False,2
ATO,137.97,True,True,False,False,False,False,2
ATR,158.87,True,True,False,False,False,False,2
ATS,29.03,True,False,False,False,False,False,1
ATUS,2.56,True,False,False,False,False,False,1
AU,23.26,False,False,False,False,False,False,0
AUB,37.15,True,True,y_no_gp,q_no_gp,False,False,2
AUNA,6.66,False,False,True,False,True,False,2
AVA,35.86,False,False,False,False,False,False,0
AVAL,2.03,True,False,y_no_gp,q_no_gp,False,False,1
AVB,217.16,True,True,False,False,False,False,2
AVD,4.41,True,False,False,False,False,False,1
AVK,11.79,True,True,y_no_gp,q_no_gp,False,cant_fetch,2
AVNS,16.54,False,False,False,False,False,False,0
AVNT,41.69,False,False,False,False,False,False,0
AVTR,21.02,False,False,False,False,False,False,0
AVY,186.26,False,False,False,False,False,False,0
AWF,10.56,False,True,y_no_gp,q_no_gp,False,cant_fetch,1
AWI,141.86,True,True,False,False,False,False,2
AWK,123.83,False,False,False,False,False,False,0
AWP,3.81,False,False,y_no_gp,q_no_gp,False,cant_fetch,0
AWR,79.46,False,True,False,False,False,False,1
AX,71.12,True,True,y_no_gp,q_no_gp,False,False,2
AXL,5.89,True,False,False,False,False,False,1
AXP,293.08,True,True,y_no_gp,q_no_gp,False,False,2
AXR,31.29,True,True,False,False,False,False,2
AXS,87.61,True,True,y_no_gp,q_no_gp,False,False,2
AXTA,34.44,True,False,False,False,False,False,1
AZEK,48.18,True,False,False,False,False,False,1
AZUL,1.77,False,False,False,False,False,False,0
AZZ,81.57,True,True,False,False,False,False,2
B,47.13,True,True,False,False,False,False,2
BA,177.04,True,False,False,False,False,True,2
BABA,84.31,False,True,False,False,False,False,1
BAC,43.38,True,True,y_no_gp,q_no_gp,False,False,2
BAH,128.66,False,False,False,False,False,False,0
BAK,4.05,False,False,False,False,False,False,0
BALL,55.36,False,False,False,False,False,False,0
BALY,17.68,True,True,False,False,False,False,2
BAM,54.22,True,True,False,False,insufficient,False,2
BANC,15.36,True,True,y_no_gp,q_no_gp,False,False,2
BAP,180.17,True,True,y_no_gp,q_no_gp,False,False,2
BARK,1.93,True,True,False,False,False,False,2
BAX,28.9,False,False,False,False,False,False,0
BB,2.98,True,False,False,False,False,False,1
BBAI,2.82,True,False,False,False,False,False,1
BBAR,16.88,True,True,y_no_gp,q_no_gp,True,False,3
BBD,1.88,False,False,y_no_gp,q_no_gp,False,False,0
BBDC,9.27,True,False,y_no_gp,q_no_gp,False,False,1
BBDO,1.79,False,False,y_no_gp,q_no_gp,False,False,0
BBN,15.84,False,False,y_no_gp,q_no_gp,False,cant_fetch,0
BBU,22.38,True,True,False,False,False,False,2
BBUC,23.51,True,True,False,False,False,False,2
BBVA,9.66,False,False,y_no_gp,q_no_gp,False,False,0
BBW,42.74,True,True,False,False,False,False,2
BBWI,38.58,True,False,False,False,False,False,1
BBY,85.2,False,True,False,False,False,False,1
BC,66.84,False,False,False,False,False,False,0
BCAT,15.17,False,True,y_no_gp,q_no_gp,False,cant_fetch,1
BCC,123.01,False,False,False,False,False,False,0
BCE,23.11,False,False,False,False,False,False,0
